SIC	Description
734929	Awnings & Canopies-Cleaning
179980	Awnings & Canopies-Maintenance
239402	Awnings & Canopies-Manufacturers
503922	Awnings & Canopies-Wholesale
753915	Axles
371419	Axles-Manufacturers
334101	Babbitting (Mfrs)
564101	Baby Accessories
564115	Baby Accessories-Rental
513707	Baby Accessories-Wholesale
594743	Baby Announcements
251108	Baby Carriage Supplies (Mfrs)
599960	Baby Carriages & Strollers
394403	Baby Carriages-Manufacturers
735965	Baby Crib-Rental
514903	Baby Food (Whls)
514970	Baby Foods Retail
421507	Baby Formula Service
251101	Baby Furniture & Accessories-Mfrs
513726	Baby Products-Wholesale
729919	Baby Sitters
873444	Back Flow Device Testing Services
507410	Back Flow Prevention Devices (Whls)
735205	Back Supports
839922	Background Screening
735305	Backhoe Rental
594123	Backpacking & Mountaineering-Equip/Supl
807105	Bacteriologists
519920	Badges (Whls)
399967	Badges-Manufacturers
239906	Badges-Manufacturers Supplies
267405	Bag Making Machinery (Mfrs)
331504	Bag Ties (Mfrs)
546101	Bagels
205102	Bagels-Manufacturers
514940	Bagels-Wholesale
421223	Baggage Transfer
729992	Bagging Service
225905	Bagging-Cotton Bale (Mfrs)
393106	Bagpipe Makers
519981	Bags-Burlap & Cotton-Used (Whls)
519950	Bags-Burlap Canvas & Cotton (Whls)
239301	Bags-Burlap Canvas & Cotton-Mfrs
563217	Bags-Fabric
267303	Bags-Garbage-Manufacturers
511331	Bags-Industrial & Commercial (Whls)
267403	Bags-Manufacturers
267401	Bags-Paper (Mfrs)
267301	Bags-Plastic (Mfrs)
511313	Bags-Plastic-Wholesale
267402	Bags-Specialty (Mfrs)
511317	Bags-Specialty-Wholesale
635108	Bail Commissioners
922106	Bailiffs
508404	Bakers Equipment (Whls)
355611	Bakers Equipment-Manufacturers
762905	Bakers Equipment-Repairing
508701	Bakers Supplies (Whls)
209905	Bakers Supplies-Manufacturers
546103	Bakers-Cake & Pie
546102	Bakers-Retail
514902	Bakers-Wholesale
801135	Balance Centers
501333	Balancing Equipment (Whls)
753927	Balancing Service-Automotive
177102	Balancing Service-Industrial
352305	Balers-Manufacturers
356908	Baling Equipment & Supls-Manufacturers
508316	Baling Equipment & Supplies (Whls)
356298	Ball & Roller Bearing (Mfrs)
505141	Ball Screws & Splines (Whls)
731921	Balloon Advertising
372104	Balloons-Hot Air Whls & Mfrs
799906	Balloons-Manned
594701	Balloons-Novelty & Toy
306905	Balloons-Novelty & Toy-Manufacturers
509201	Balloons-Novelty & Toy-Wholesale
791102	Ballrooms
322902	Balls-Glass (Mfrs)
395103	Balls-Plastic (Mfrs)
306928	Balls-Rubber (Mfrs)
339901	Balls-Steel Bronze Etc (Mfrs)
594516	Balsa Wood
519922	Bamboo & Woven Wood Products (Whls)
249905	Bamboo Products-Manufacturers
571944	Bamboo-Retail
503128	Bamboo-Wholesale
275929	Bands & Wrappers-Printed (Mfrs)
874821	Bank Designers & Consultants
504411	Bank Equipment & Supplies (Whls)
357801	Bank Equipment & Supplies-Manufacturers
738208	Bank Protective Equipment
609915	Banking Systems & Service-Electronic
729953	Bankruptcy Service
673304	Bankruptcy Trustees
602101	Banks
602105	Banks/Overseas-Representative Offices
628208	Banks-Consulting Services
599906	Banners
581223	Banquet Rooms
581216	Banquets-Arranged
504421	Bar Code Scanning Equip & Supls (Whls)
737412	Bar Coding
254202	Bar Fixtures-Manufacturers
735976	Bar Rental
829951	Bar Review Courses
507813	Bar Supplies (Whls)
508406	Barbecue Equipment & Supplies (Whls)
363101	Barbecue Equipment & Supplies-Mfrs
571985	Barbecue Equipment & Supplies-Retail
209919	Barbecue Manufacturers
581224	Barbecue Restaurant
514941	Barbecue-Wholesale (Sauce)
724102	Barber Schools
724101	Barbers
508705	Barbers Equipment & Supplies (Whls)
399909	Barbers Equipment & Supplies-Mfrs
507810	Bar-Equip Fixtures Supplies/Custom Made
444901	Barge Lines & Terminals
373102	Barges (Mfrs)
449907	Barges-Leased
526121	Bark
076207	Barn & Feedlot Cleaning
508321	Barn Equipment (Whls)
352306	Barn Equipment-Manufacturers
154219	Barns
508595	Barrel Servicing Equipment (Whls)
242903	Barrel-Manufacturers Equip/Supls (Mfrs)
341201	Barrels & Drums (Mfrs)
508556	Barrels & Drums-Equipment & Supls (Whls)
508579	Barrels & Drums-Fiber (Whls)
308914	Barrels & Drums-Plastic (Mfrs)
509302	Barrels & Drums-Used (Whls)
244903	Barrels & Drums-Wooden (Mfrs)
738918	Barricades
349920	Barricades-Manufacturers
581301	Bars
821119	Bartending School
736102	Bartending Service
623101	Barter & Trade Exchange
799908	Baseball Batting Ranges
